date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:58	1377/1377	---M--	200	added ('OK')	image/gif	etag:%22f821583c-561-49d2156cb1510%22	http://jumpgate.co.uk/JOSSH/media/medals/medal72.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal72.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:58	2799/2799	---M--	200	added ('OK')	text/html	etag:%2295a4c9a8-aef-49d20eafed470%22	http://jumpgate.co.uk/JOSSH/database/medals/medal74.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal74.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:59	1380/1380	---M--	200	added ('OK')	image/gif	etag:%22a21f25a-564-49d2156d2ba18%22	http://jumpgate.co.uk/JOSSH/media/medals/medal74.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal74.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:59	3149/3149	---M--	200	added ('OK')	text/html	etag:%2221e905e7-c4d-4b12ae16e95b0%22	http://jumpgate.co.uk/JOSSH/database/medals/medal42.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal42.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:59	1082/1082	---M--	200	added ('OK')	image/gif	etag:%2271a84994-43a-49d21565bec08%22	http://jumpgate.co.uk/JOSSH/media/medals/medal42.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal42.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:59	3155/3155	---M--	200	added ('OK')	text/html	etag:%22e4a88aa6-c53-4b12ae172e72d%22	http://jumpgate.co.uk/JOSSH/database/medals/medal43.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal43.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:41:00	1082/1082	---M--	200	added ('OK')	image/gif	etag:%226368aa89-43a-49d21565c5968%22	http://jumpgate.co.uk/JOSSH/media/medals/medal43.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal43.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:41:00	3155/3155	---M--	200	added ('OK')	text/html	etag:%22afab06d2-c53-4b12ae17567cf%22	http://jumpgate.co.uk/JOSSH/database/medals/medal44.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal44.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:41:00	1080/1080	---M--	200	added ('OK')	image/gif	etag:%22916800ef-438-49d2156667358%22	http://jumpgate.co.uk/JOSSH/media/medals/medal44.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal44.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:41:00	3157/3157	---M--	200	added ('OK')	text/html	etag:%226aea8993-c55-4b12ae17a8c3d%22	http://jumpgate.co.uk/JOSSH/database/medals/medal45.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal45.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
